playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamId,team.teamAbbr,team.teamName,team.teamNickname,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreBounceAttendances,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kickins,totals.kickinsPlayon,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreBounceAttendances,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kickins,averages.kickinsPlayon,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I291819,3,Adam,Tomlinson,29,194,95,20,RIGHT,VIC,2011,2012,Canterbury (Vic)/Trinity Grammar (Vic)/Oakleigh U18/GWS,9,nationalDraft,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/291819.png?im=Scale,width=0.6,height=0.6",10/8/1993,CD_T90,MELB,Melbourne,Demons,3,100,0,0,0,0,7,1,10,10,0,27.8,10,0,0,0,18,85.7,49,185,42,34,0,4,2,0,0,0,8,11,0,0,0,0,3,3,14,89.5,13,11,38,3.5,13,0,0,1099,19,22,534,62,20,0,9,5,0,16,0,5,1,0,36,10,26,3,100,0,0,0,0,2.3,0.3,10,3.3,0,27.8,3.3,0,0,0,6,85.7,16.3,61.7,14,11.3,0,1.3,0.7,0,0,0,2.7,3.7,0,0,0,0,1,1,4.7,89.5,13,11,12.7,3.5,4.3,0,0,366.6,6.3,7.3,62,6.7,0,3,1.7,0,5.3,0,1.7,0.3,0,12,3.3,8.7
CD_I293738,7,Sam,Frost,29,194,94,8,RIGHT,VIC,2012,2012,Ormond (Vic)/Wesley College (Vic)/Sandr U18/GWS/Melbourne,83,rookieElevation,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/293738.png?im=Scale,width=0.6,height=0.6",28/08/1993,CD_T80,HAW,Hawthorn,Hawks,7,93.2,0,1,0,0,25,4,30.8,13,6,42,42,0,0,0,47,75.2,101,399,76,41,0,9,3,0,0,0,27,41,0,0,0,0,5,19,52,68.3,2,2,60,1.5,35,0,0,1503,23,62,200,305.4,20,0,16,10,0,14,2,14,0,2,100,20,58,7,93.2,0,0.1,0,0,3.6,0.6,30.8,1.9,0.9,42,6,0,0,0,6.7,75.2,14.4,57,10.9,5.9,0,1.3,0.4,0,0,0,3.9,5.9,0,0,0,0,0.7,2.7,7.4,68.3,2,2,8.6,1.5,5,0,0,214.8,3.3,8.9,305.4,2.9,0,2.3,1.4,0,2,0.3,2,0,0.3,14.3,2.9,8.3
CD_I294469,7,Aliir,Aliir,28,194,96,21,RIGHT,WA,2013,2016,Aspley (Qld)/East Fremantle (WAFL)/Sydney,44,nationalDraft,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/294469.png?im=Scale,width=0.6,height=0.6",5/9/1994,CD_T110,PORT,Port Adelaide,Power,7,96.2,0,0,0,0,18,7,33.3,21,11,56.5,48,0,0,0,41,77.1,83,367,64,44,0,9,10,0,1,0,28,27,0,0,0,0,4,25,61,78.6,0,0,56,2.1,34,1,0,1004,45,45,125,362.9,26,1,7,5,1,41,1,15,0,1,85,12,37,7,96.2,0,0,0,0,2.6,1,33.3,3,1.6,56.5,6.9,0,0,0,5.9,77.1,11.9,52.4,9.1,6.3,0,1.3,1.4,0,0.1,0,4,3.9,0,0,0,0,0.6,3.6,8.7,78.6,0,0,8,2.1,4.9,0.1,0,143.5,6.4,6.4,362.9,3.7,0.1,1,0.7,0.1,5.9,0.1,2.1,0,0.1,12.1,1.7,5.3
CD_I295222,0,Joel,Hamling,30,194,92,21,RIGHT,WA,2011,2015,Cable Beach (WA)/Claremont (WAFL)/Geelong List/WB,32,nationalDraft,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/295222.png?im=Scale,width=0.6,height=0.6",9/4/1993,CD_T60,FRE,Fremantle,Freo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I295446,7,Sam,Collins,28,194,98,25,RIGHT,VIC,2015,2016,Donvale (Vic)/Oakleigh U18/Box Hill (VFL)/Frem/Werribee (VFL),55,nationalDraft,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/295446.png?im=Scale,width=0.6,height=0.6",15/06/1994,CD_T1000,GCFC,Gold Coast Suns,Suns,7,95.7,0,0,0,0,10,7,24.1,29,7,42.7,41,0,0,0,51,77.6,98,473,76,52,0,3,5,0,0,0,25,32,0,0,0,0,4,22,56,78.8,0,0,66,2.1,49,0,0,1245,61,57,108,373.5,13,0,10,4,0,54,3,17,0,3,96,12,55,7,95.7,0,0,0,0,1.4,1,24.1,4.1,1,42.7,5.9,0,0,0,7.3,77.6,14,67.6,10.9,7.4,0,0.4,0.7,0,0,0,3.6,4.6,0,0,0,0,0.6,3.1,8,78.8,0,0,9.4,2.1,7,0,0,177.9,8.7,8.1,373.5,1.9,0,1.4,0.6,0,7.7,0.4,2.4,0,0.4,13.7,1.7,7.9
CD_I297373,7,Marcus,Bontempelli,27,194,96,4,LEFT,VIC,2013,2014,Eltham (Vic)/Northern U18,4,nationalDraft,MIDFIELDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/297373.png?im=Scale,width=0.6,height=0.6",24/11/1995,CD_T140,WB,Western Bulldogs,Bulldogs,7,84.2,4,2,140,24,23,1,100,1,5,52.2,96,6,2,33.3,75,76,175,731,133,64,8,10,10,50,8,4,57,82,1,1,100,100,34,1,24,68.8,0,0,93,1.1,25,5,0,2876,31,172,1,649.2,11,1,46,17,8,9,33,51,11,57,184,34,88,7,84.2,0.6,0.3,140,3.4,3.3,0.1,100,0.1,0.7,52.2,13.7,0.9,0.3,33.3,10.7,76,25,104.4,19,9.1,1.1,1.4,1.4,50,1.1,0.6,8.1,11.7,0.1,0.1,100,100,4.9,0.1,3.4,68.8,0,0,13.3,1.1,3.6,0.7,0,410.9,4.4,24.6,649.2,1.6,0.1,6.6,2.4,1.1,1.3,4.7,7.3,1.6,8.1,26.3,4.9,12.6
CD_I298281,6,Jake,Lever,27,194,94,8,RIGHT,VIC,2014,2015,Romsey (Vic)/Calder U18/Adelaide,14,nationalDraft,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/298281.png?im=Scale,width=0.6,height=0.6",5/3/1996,CD_T90,MELB,Melbourne,Demons,6,97.9,0,0,0,0,19,1,11.1,9,6,34,34,0,0,0,22,83.3,102,394,85,50,0,7,6,0,0,0,22,40,0,0,0,0,6,23,56,80.6,1,0,62,1.6,41,0,1,1701,24,28,136,351.5,18,0,14,8,0,23,1,5,0,1,100,21,66,6,97.9,0,0,0,0,3.2,0.2,11.1,1.5,1,34,5.7,0,0,0,3.7,83.3,17,65.7,14.2,8.3,0,1.2,1,0,0,0,3.7,6.7,0,0,0,0,1,3.8,9.3,80.6,1,0,10.3,1.6,6.8,0,0.2,283.6,4,4.7,351.5,3,0,2.3,1.3,0,3.8,0.2,0.8,0,0.2,16.7,3.5,11
CD_I990840,0,Jack,Hayes,27,194,94,18,RIGHT,SA,2021,2022,Brinkworth Spalding Redhill (SA)/Woodville-West Torrens (SANFL),,preseason,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/990840.png?im=Scale,width=0.6,height=0.6",6/3/1996,CD_T130,STK,St Kilda,Saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I993797,1,Tom,Wilson,25,194,86,12,RIGHT,VIC,2019,2021,East Sandringham (Vic)/Caulfield Grammar (Vic),,other,MIDFIELDER_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/993797.png?im=Scale,width=0.6,height=0.6",24/06/1997,CD_T40,COLL,Collingwood,Magpies,1,47.6,0,0,0,0,1,0,0,0,0,20,1,0,0,0,4,80,5,22,4,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,1,50,0,0,2,0.7,2,0,0,100,0,13,586,32.8,0,0,0,0,0,0,0,1,0,0,5,2,4,1,47.6,0,0,0,0,1,0,0,0,0,20,1,0,0,0,4,80,5,22,4,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,1,50,0,0,2,0.7,2,0,0,100.3,0,13,32.8,0,0,0,0,0,0,0,1,0,0,5,2,4
CD_I996731,7,Charlie,Curnow,26,194,94,30,RIGHT,VIC,2015,2016,Torquay (Vic)/Geelong U18,12,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/996731.png?im=Scale,width=0.6,height=0.6",3/2/1997,CD_T30,CARL,Carlton,Blues,7,94.3,14,0,0,2,10,0,0,0,23,53.2,50,41,11,26.8,13,71.9,96,647,69,56,8,4,10,65.2,4,30,17,16,0,0,0,0,25,2,5,70,0,0,80,5,53,27,11,2389,14,56,63,416.9,0,0,65,5,46,14,0,6,4,2,94,17,44,7,94.3,2,0,0,0.3,1.4,0,0,0,3.3,53.2,7.1,5.9,1.6,26.8,1.9,71.9,13.7,92.4,9.9,8,1.1,0.6,1.4,65.2,0.6,4.3,2.4,2.3,0,0,0,0,3.6,0.3,0.7,70,0,0,11.4,5,7.6,3.9,1.6,341.3,2,8,416.9,0,0,9.3,0.7,6.6,2,0,0.9,0.6,0.3,13.4,2.4,6.3
CD_I996743,0,Lewis,Melican,26,194,99,43,RIGHT,VIC,2017,2017,Birregurra (Vic)/Geelong U18,,rookieElevation,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/996743.png?im=Scale,width=0.6,height=0.6",4/11/1996,CD_T160,SYD,Sydney Swans,Swans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
